Арка;Главы;Персонаж;Чего хочет;Что реально знает;Доверие/отношения;Изменение к концу арки;Ещё не знает / запрет
A5;30–36;Ильва;Надёжно вести навигационную часть полевой группы.;Лучше Норы знает маршрут/пространственный контекст и видит её ошибку.;Нора доверяет её маршруту без постоянной перепроверки.;Из старшей знакомой становится близкой подругой через ответственность.;Не делать её уже мастером причинной навигации будущих лет.
A6;37–42;Ильва;Продолжить собственную летнюю картографическую траекторию.;Знает только доступные ей обычные факты о семя #2.;Дружба с Норой автономна и устойчива.;Заканчивает год отдельной молодой картографкой.;Не фиксировать романтическое предопределение.
A1;1–7;Ареон;"Занят II курсом; личной линии Норы ещё нет.";Нору лично не знает.;Отношения нет.;Нет арки с Норой.;Не вводить раньше ради полной команды.
A2;8–14;Ареон;"Продолжать теоретический трек; максимум появляться фоном.";Не знает семя #1/#2, если не присутствует в сценах.;Нора максимум узнаёт его в лицо/имя.;Подготовка к полноценному гл. 19.;Не давать тайные причинный знания.
A3;15–21;Ареон;Проверить качество мышления Норы.;"Знает данные/модель гл. 18–20; семя #3 считает проблемой источника/объекта.";Раздражение → взаимное интеллектуальное уважение.;Начинает считать спор с Норой стоящим времени.;Не знает истинную природу Белого Разлома, активный Меридиан, особенность Норы.
A4;22–29;Ареон;Понять, полезна ли группа вне теории.;Видит последствия 22–24.;К гл. 25 добровольно остаётся в круге.;Становится интеллектуальный оппонент группы, не антагонист.;Не превращать в ходячую энциклопедию.
A5;30–36;Ареон;Применить сильную теорию в поле.;"гл. 32 видит стройное объяснение и разделяет уверенность Норы; гл. 33 принимает опровержение.";Доверие с Норой растёт через совместную ошибку.;Учится, что формальная корректность условна исходными данными.;Ошибка не является предчувствием скрытой истины.
A6;37–42;Ареон;Продолжить II→III курс и интеллектуальную связь.;"Знает о честном отчёте/работе Норы; четыре семя целиком ему неизвестны.";Нора — человек, которому можно прислать неудобный вопрос без ритуала.;Формируется надёжная интеллектуальная дружба.;Не раскрывать макросюжет через его гениальность.
A1;1–7;Деймон;Жить своей жизнью III курса.;Нору не знает.;Нет отношения.;Нет арки.;Не вводить гл. 1–7.
A2;8–14;Деймон;Нормально выполнить старшекурсную роль в межкурсовый проекте.;Знает мастерские/материалы лучше младших.;Нора — способная младшая студентка.;После гл. 13 возникает профессиональное уважение.;Не делать его уже известным изобретателем/мастером.
A3;15–21;Деймон;Работать с реальными материалами и требовать проверки объекта.;гл. 17 показывает физическую причину трещины.;Нора начинает доверять его проверке объекта.;Становится человеком, к которому Нора идёт с практическим вопросом.;Не делать анти-теоретиком.
A4;22–29;Деймон;Показать, что инженерная компетентность включает ответственность.;Знает реальную городскую работу и разбор 22–24.;К гл. 25 принимает младших как настоящий круг.;Социально теплеет после общей ответственности.;III курс не даёт взрослой власти над группой.
A5;30–36;Деймон;Сделать полевую работу физически проверяемой.;"В гл. 32 сомневается в причинной интерпретации; гл. 33 физически проверяет.";"Нора доверяет его проверке; он уважает её за гл. 36.";Становится полноценным другом/практическим противовес.;Не делать единственным всегда правым.
A6;37–42;Деймон;Двигаться к более взрослой инженерной роли.;"Знает ошибку и честный отчёт; не знает четыре семя целиком.";Дружба с Норой существует без общего расписания.;Готовится раньше Норы перейти в профессиональную среду.;Не фиксировать будущие изобретения.
A1;1–7;Сейна;Поддержать поступление, не контролируя взрослую дочь.;"Знает Нору и её стрессовые привычки; причинный механизм не знает.";Глубокое семейное доверие.;Даёт Норе пространство уйти в Академию.;"Не знает истинную функцию меча/Меридиан; детская медицинская история не раскрывается автоматически."
A2;8–14;Сейна;Сделать дом местом восстановления, не вторым экзаменом.;Видит усталость/новых друзей по рассказам и быту.;Принимает, что часть жизни Норы теперь вне семьи.;Переходит от 'помочь поступить' к 'дать взрослеть'.;Не участвует в тайна.
A3;15–21;Сейна;Не дать Норе превратить нагрузку в саморазрушение.;Знает её бытовые сигналы усталости.;Может твёрдо настаивать на здоровье.;Её забота контрастирует с академическим азартом.;Не диагностирует причинные эффекты.
A4;22–29;Сейна;Поддержать после стресса, не отнимая право самой разбираться.;Может заметить, что гл. 27 задел Нору, если та показывает это.;Доверие позволяет Норе не рассказывать всё.;Поддерживает тему 'не всё надо немедленно исправлять'.;Не становится экспозиционным врачом.
A5;30–36;Сейна;Принять первую контролируемую полевую практику и возможность ошибки.;Знает обычную версию практики.;Нора может сказать дома 'я ошиблась' без потери уважения.;Дом остаётся безопасным после ошибки.;Не вмешивается в оценивание.
A6;37–42;Сейна;Принять появление у Норы собственной работы/денег.;Знает, что работа низкорисковая и контролируемая.;Отношение становится чуть более взрослым.;Уважает первые самостоятельные решения Норы.;Не знает истину макросюжета.
A1;1–7;Марен;Передать меч и доверие без навязывания судьбы.;"Знает о реставрации меча больше Норы; предел его знаний о V2/Оси не фиксируется.";С Норой глубокое практическое доверие.;Передаёт ответственность дальше ей.;Не фиксировать знание причинная особенность/Meridian/полную функцию меча.
A2;8–14;Марен;Смотреть, как Нора строит собственную профессиональную систему.;Знает старые дороги/структуры и обычные версии семя #2.;Нора приносит ему технические вопросы.;Не забирает у Академии роль учителя.;Не знает, что семя #2 часть общей линии.
A3;15–21;Марен;Поддерживать практическое мышление на фоне теории.;Его опыт переделок даёт обычную модель для гл. 20.;Интеллектуальная близость сохраняется, но Нора чаще идёт к друзьям/преподавателям.;Принимает смещение профессионального центра жизни дочери.;Не скрытый хранитель истины.
A4;22–29;Марен;Дать Норе самой выбрать полевую визографию.;Знает, что ей нравится поле/старые структуры.;Гордится без давления.;Переходит от 'показал мир' к 'смотрит, что она выберет'.;Не связывает гл. 27 с детским эпизодом без отдельного решения.
A5;30–36;Марен;Не спасать Нору от первой профессиональной ошибки.;Может услышать её версию после возвращения.;Нора может говорить с ним и как с отцом, и как с практиком.;Подготавливает гл. 38.;Не вмешивается в Академию.
A6;37–42;Марен;Показать старую дорогу уже молодой коллеге по интересу.;Знает обычные реставрационные версии отсутствующего моста.;Связь становится более коллегиальной, оставаясь родительской.;Связывает её профессию с семейными корнями.;Не выдаёт макросюжет lore.
A1;1–7;Тален;Сохранить нормальные братско-сестринские отношения в важный день.;"Знает привычки Норы; меч видит как реальный интересный механизм.";Максимально расслабленное доверие.;Не даёт гл. 1 стать торжественным ритуалом.;Не знает истинную функцию меча/причинная особенность.
A2;8–14;Тален;Продолжать собственную подростковую/механическую жизнь.;Знает новых знакомых Норы по рассказам.;Может дразнить без обесценивания.;Сохраняет отдельность семейной линии.;Не взрослый мастер.
A3;15–21;Тален;Проверять собственные способности, пока Нора занята Академией.;Может раньше Норы заметить бытовую механику, но не знать теории.;Нора сильнее уважает его практический ум.;Уходит от динамики 'старшая всё знает'.;Не тащить в Академию искусственно.
A4;22–29;Тален;Оставаться нормальным братом при росте ответственности Норы.;Замечает стресс, не требует объяснений.;Юмор остаётся каналом близости.;Возвращает Нору к обычной 18-летней жизни.;семя #4 знает только если Нора расскажет.
A5;30–36;Тален;Увидеть, что Нора может ошибаться без потери уважения.;Может знать факт ошибки, не весь отчёт.;Отношения становятся более взаимно-уважительными.;Хороший семейный результат.;Не участвует в операции.
A6;37–42;Тален;Принять новый статус Норы с первым заработком.;Видит летнюю работу и небольшие покупки.;Связь остаётся самой непринуждённой.;Закрывает год бытовой нормальностью.;Не ускорять взрослый рост/лицензию.
